FOR;H;
S;13.01;0.019685
;1.962;0.137977
;0.4446;0.478148
S;0.122;1
P;0.727;1
FOR;He;
S;38.36;0.023809
;5.77;0.154891
;1.24;0.469987
S;0.2976;1
P;1.275;1
FOR;;
